,일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
253,2022/01/10,246000,-1000,-0.4,248500,252500,244000,270450,66795905000,22746528744000,92465564
254,2022/01/11,241500,-4500,-1.83,246500,248000,236000,453993,109547505000,22330433706000,92465564
255,2022/01/12,264500,23000,9.52,247500,265000,247000,1366162,352687861500,24457141678000,92465564
256,2022/01/13,266500,2000,0.76,268500,272500,265500,1036408,278429920000,24642072806000,92465564
257,2022/01/14,263500,-3000,-1.13,261500,268000,260000,551059,144927343500,24364676114000,92465564
258,2022/01/17,265000,1500,0.57,264000,270000,261500,465947,123226251500,24503374460000,92465564
259,2022/01/18,272000,7000,2.64,265500,278500,263500,1070047,291920595500,25150633408000,92465564
260,2022/01/19,261500,-10500,-3.86,273000,278000,258000,1051785,282655380500,24179744986000,92465564
261,2022/01/20,265500,4000,1.53,263500,271000,259000,847837,224856830500,24549607242000,92465564
262,2022/01/21,252000,-13500,-5.08,261500,263000,246500,1052366,265562461500,23301322128000,92465564
263,2022/01/24,247500,-4500,-1.79,246500,251500,243000,530746,131128519000,22885227090000,92465564
264,2022/01/25,234500,-13000,-5.25,246500,247500,232000,711240,168700682500,21683174758000,92465564
265,2022/01/26,232000,-2500,-1.07,237500,241000,231000,484484,113775967000,21452010848000,92465564
266,2022/01/27,215500,-16500,-7.11,233000,235000,213500,1298598,283945437163,19926329042000,92465564
267,2022/01/28,216000,500,0.23,212500,221000,199500,1507157,318249750500,19972561824000,92465564
268,2022/02/03,218500,2500,1.16,223000,224500,217000,663512,146586945000,20203725734000,92465564
269,2022/02/04,228000,9500,4.35,218500,229500,218000,603614,136352107000,21082148592000,92465564
270,2022/02/07,226500,-1500,-0.66,232000,232000,224500,503687,114526032500,20943450246000,92465564
271,2022/02/08,213500,-13000,-5.74,227500,227500,212000,1086197,235087809500,19741397914000,92465564
272,2022/02/09,215500,2000,0.94,215500,216500,212000,406094,87081582500,19926329042000,92465564
273,2022/02/10,209500,-6000,-2.78,216500,219000,209500,620939,131805206500,19371535658000,92465564
274,2022/02/11,207000,-2500,-1.19,205000,211000,205000,411624,85493447500,19140371748000,92465564
275,2022/02/14,204500,-2500,-1.21,203000,207000,200500,442448,90062619000,18909207838000,92465564
276,2022/02/15,200500,-4000,-1.96,204500,206500,200000,336473,68129948000,18539345582000,92465564
277,2022/02/16,203500,3000,1.5,206000,209000,203000,386461,79456038000,18816742274000,92465564
278,2022/02/17,211500,8000,3.93,205000,215500,204500,718513,152250360500,19556466786000,92465564
279,2022/02/18,210500,-1000,-0.47,208500,214000,208000,264975,55900638000,19464001222000,92465564
280,2022/02/21,208500,-2000,-0.95,206000,209000,203000,249090,51472913500,19279070094000,92465564
281,2022/02/22,201000,-7500,-3.6,203500,207000,200500,405623,82228033500,18585578364000,92465564
282,2022/02/23,201500,500,0.25,202500,203500,200500,300421,60512783000,18631811146000,92465564
283,2022/02/24,195500,-6000,-2.98,199000,202500,192500,627644,123192033000,18077017762000,92465564
284,2022/02/25,201000,5500,2.81,199500,202000,196000,357869,71494831500,18585578364000,92465564
285,2022/02/28,200500,-500,-0.25,201000,204500,199000,436808,87884828000,18539345582000,92465564
286,2022/03/02,207500,7000,3.49,203500,209000,202500,444106,91797787000,19186604530000,92465564
